,gene,functional_group
1322,KHDRBS1,42
1323,GZF1,18
1324,ITM2B,11
1325,FITM1,48
1326,NCAM1,7
1327,BPNT1,18
1328,PTDSS2,42
1329,PTP4A2,21
1330,GNB1L,3
1331,CPOX,20
1332,ORMDL2,31
1333,CYP4V2,0
1334,GATAD1,20
1335,GMEB1,17
1336,PPM1D,0
1337,EXOSC1,40
1338,SRSF10,13
1339,MDM4,40
1340,ZBED1,25
1341,BCL3,10
1342,TP53INP2,25
1343,NFKBIB,11
1344,MANF,39
1345,FBXO32,9
1346,SAC3D1,46
1347,TADA2B,33
1348,ATP8B1,9
1349,DNTTIP1,25
1350,SSBP1,19
1351,CLCC1,44
1352,ZNF608,42
1353,UBE2H,13
1354,MAN1A2,14
1355,B4GALT7,0
1356,TPD52,30
1357,TM9SF3,22
1358,IL12RB2,42
1359,HUWE1,0
1360,SEC14L5,16
1361,COX6B1,2
1362,SLC31A1,0
1363,SYK,35
1364,LRRC25,49
1365,LSM14A,17
1366,UBE2T,35
1367,MPP2,1
1368,ARPC3,6
1369,ZNF710,10
1370,DEFA6,23
1371,EHMT2,29
1372,FAM229A,7
1373,PACSIN2,18
1374,EMC9,29
1375,GPALPP1,26
1376,DGKZ,21
1377,NABP1,20
1378,MCTS1,3
