,cluster,rest_enrich,stim8hr_enrich,stim48hr_enrich,rest_p,stim8hr_p,stim48hr_p,cluster_gene_size,rest_fdr,stim8hr_fdr,stim48hr_fdr
61,47,0.3101514458258211,0.21570523576064227,0.18100213109687965,0.0049004900490049,0.05350535053505351,0.09570957095709572,4,0.17839987886381978,0.7970323918043944,0.9781374153476227
62,61,0.5102099721031892,0.6167793479749716,0.1943154438546999,0.0,0.0,0.0,19,0.0,0.0,0.0
63,55,-0.06134224096828153,-2.036532343621852,0.9641410814201916,0.5342534253425343,0.8093809380938094,0.2786278627862786,3,0.9999475953762901,0.9994202330074721,0.9999849540931228
64,86,0.1644585063381617,0.9117899148088651,0.34338814022358044,0.17331733173317332,0.0,0.027402740274027403,12,0.9941366140870588,0.0,0.6972244584745224
65,18,0.0537223190728351,0.23530570437657586,0.34734221149118166,0.33713371337133713,0.0335033503350335,0.0,2,0.9999284182441683,0.6522949968636872,0.0
66,107,-0.07251256031605949,-0.08418952988647727,0.7159509550494129,0.7153715371537154,0.788978897889789,0.0,9,0.9999475953762901,0.9994202330074721,0.0
67,3,0.4164259708354693,0.40662242851374353,0.3072592860225137,0.0,0.0,0.0009000900090009,3,0.0,0.0,0.0457463451889835
68,51,0.7369092997744259,0.27900665143337544,0.43266534939638346,0.0,0.0,0.0,23,0.0,0.0,0.0
69,32,0.1618083660466167,0.45615454960069307,0.48667196812425073,0.0006000600060006001,0.0,0.0,11,0.02898344906502797,0.0,0.0
70,91,0.5484793626955337,0.18748743835882195,0.26363195543552426,0.0,0.0,0.0,10,0.0,0.0,0.0
71,59,0.4088070786916322,0.24838970501706076,0.40834533017841146,0.0,0.012001200120012,0.0,9,0.0,0.36028367908402276,0.0
72,69,0.53021687949377,0.3522913064824699,0.018958035544459868,0.0,0.0025002500250025004,0.4673467346734673,7,0.0,0.09980331129635865,0.9999999588846463
73,31,0.1754811448726352,0.30457758201293383,0.5712227668575102,0.0,0.0,0.0,12,0.0,0.0,0.0
74,66,0.3520060699294729,0.38730357447795005,0.33263832586571995,0.0,0.0,0.0,4,0.0,0.0,0.0
75,42,0.588220438391872,0.37813593959949354,-0.07571677728567662,0.0,0.0,0.8563856385638564,13,0.0,0.0,0.9999999999230206
76,84,0.7448176246512713,0.21354102734999647,-0.111010386466179,0.0,0.021602160216021602,0.8047804780478047,9,0.0,0.5135804632435261,0.9999999998832316
77,44,0.2166599010838389,0.3824035742938255,0.44890444258313816,0.0,0.0,0.0,12,0.0,0.0,0.0
78,79,0.674327876525753,0.3735954636474832,0.27780006334504287,0.0,0.00030003000300030005,0.0063006300630063005,6,0.0,0.014891755594462052,0.26168669690079965
79,81,0.2005431960073,0.25761854762992537,0.27131426162205374,0.0070007000700070005,0.00040004000400040005,0.00020002000200020003,4,0.23965840360962123,0.01941493664146894,0.010744026644641686
80,22,-0.13806983453481467,0.6707893723487028,0.3596725247713263,0.9784978497849784,0.0,0.0,11,0.9999900586428911,0.0,0.0
81,67,0.14670678138945437,0.7814527884042592,-0.03243544166776046,0.2792279227922792,0.0,0.5630563056305631,6,0.9997214207005111,0.0,0.9999999844548499
82,52,0.5927453550843325,0.526738149057274,0.08833935250257402,0.0,0.0,0.3023302330233023,4,0.0,0.0,0.9999904616840465
83,53,0.20492928291628806,0.7146237669064578,0.05088654541377552,0.15381538153815383,0.0,0.38953895389538956,4,0.9906884163995349,0.0,0.9999993917519288
84,104,0.8502735616150957,0.23585954013957935,-0.0719633816865842,0.0,0.19011901190119013,0.5713571357135714,4,0.0,0.9921713352914293,0.9999999844548499
85,1,0.13361406312389595,0.20371871407936532,-0.08662994762803317,0.061806180618061805,0.0013001300130013002,0.8236823682368237,2,0.8616211888777205,0.05563538270183234,0.9999999998832316
86,36,0.028546807637217054,0.0545323849357908,0.8374019724589564,0.41654165416541655,0.35493549354935494,0.0,8,0.9999284182441683,0.9994202330074721,0.0
87,108,0.4768981272929104,0.21268453040909613,0.5916127372023642,0.0,0.0356035603560356,0.0,4,0.0,0.6629704725641171,0.0
88,49,0.8683517521864483,0.05080352528304364,-0.07346369134598305,0.0,0.44764476447644763,0.5606560656065607,4,0.0,0.9994202330074721,0.9999999844548499
89,89,0.7205371019473298,-0.0355817913863079,-0.24065758323558803,0.0,0.5685568556855686,0.8635863586358636,7,0.0,0.9994202330074721,0.9999999999230206
90,34,0.34974575503683597,0.5410822157778964,0.33138724176463685,0.0,0.0,0.0,6,0.0,0.0,0.0
91,92,0.706778884976703,0.09910562590498126,-0.18619520922933652,0.0,0.32833283328332835,0.7786778677867787,4,0.0,0.9993579540960682,0.999999999850248
92,57,0.09218568823364531,0.039211891306685905,0.8370871463282821,0.36563656365636565,0.4292429242924292,0.0,4,0.9999284182441683,0.9994202330074721,0.0
93,85,-0.05881103690216566,0.21784806089857947,0.8507941438759525,0.5832583258325833,0.16831683168316833,0.0,7,0.9999475953762901,0.988005286068465,0.0
94,93,-0.1694576340749989,0.7238405001356917,0.2502422038639379,0.8890889088908891,0.0,0.0241024102410241,8,0.9999475953762901,0.0,0.6633363575213617
