gene_name,direct_effect,lm_coef,tf,condition
APOBR,-1.3212976039411188,0.060637352034918435,GATA3,Stim48hr
ARID5A,0.5570817352812556,-0.11381383213685026,GATA3,Stim48hr
ARPC2,-0.0979711922266559,-0.00901037911808007,GATA3,Stim48hr
ARPC5L,0.141859858030361,0.019925616200212333,GATA3,Stim48hr
BIRC3,-0.6582173804402552,-0.02572364961867945,GATA3,Stim48hr
C1GALT1,0.2109948716472009,0.09524554093930357,GATA3,Stim48hr
CCL4,-1.4217984107525554,0.09313483880965191,GATA3,Stim48hr
CD48,-0.2146464392383825,-0.015177974164072253,GATA3,Stim48hr
CD52,-0.4105506127631732,0.042408597041435354,GATA3,Stim48hr
CHST7,0.993097838490463,-0.03609194127204992,GATA3,Stim48hr
CLU,0.9302378905987048,0.03143840655972541,GATA3,Stim48hr
COPE,-0.1651977116882741,,GATA3,Stim48hr
CRIP1,-0.586949644662315,-0.08701172570491593,GATA3,Stim48hr
ERMP1,0.2204621815822213,0.01911812722234714,GATA3,Stim48hr
FAM43A,-1.685201146942365,,GATA3,Stim48hr
GALM,0.2648560273810529,0.12572648630729602,GATA3,Stim48hr
GLG1,0.211268588879522,0.015326740492877078,GATA3,Stim48hr
GTF2IRD1,-2.08157228171747,0.027411768675453613,GATA3,Stim48hr
HM13,-0.25708055029271,-0.09084952150683658,GATA3,Stim48hr
HMG20B,0.2540186045966984,0.01751730385998515,GATA3,Stim48hr
IFNG,-1.0916412964244429,0.03701393585486855,GATA3,Stim48hr
IL13,-2.5323169208425136,0.04250817113788138,GATA3,Stim48hr
IL18RAP,0.946130712855726,-0.017562013071115212,GATA3,Stim48hr
IL3,-3.086332373015668,0.1339422046903943,GATA3,Stim48hr
IL4,-2.131694359887325,-0.012825415268586146,GATA3,Stim48hr
IL9R,-3.635315613484425,0.04222458172441682,GATA3,Stim48hr
IQGAP2,0.2597289994480005,-0.006369675407271062,GATA3,Stim48hr
LAIR2,-2.17913912121466,-0.02501126625640676,GATA3,Stim48hr
MAP2K6,0.568254665568154,0.0009014773556096436,GATA3,Stim48hr
MLLT3,0.40849838833154,0.028328447325279192,GATA3,Stim48hr
MTRFR,0.172547671244647,0.05869032329010561,GATA3,Stim48hr
NCR3,-0.5613829574997706,0.0279028425465778,GATA3,Stim48hr
NDEL1,-0.1516476139376607,-0.013417639280083792,GATA3,Stim48hr
OSM,-1.6117781915604772,-0.08902431244654414,GATA3,Stim48hr
PIKFYVE,-0.1952051084971417,,GATA3,Stim48hr
PKM,0.3324526803071195,0.0862386021429159,GATA3,Stim48hr
