,target,correlation_signif,correlation_signif_pval,correlation_all,correlation_all_pval,n_signif_union,frac_sign_agreement_signif_union,n_signif_1,n_signif_2,guide_id_1,guide_id_2,culture_condition,n_signif_ontarget
18217,PDX1,,,0.09122816719099829,1.0178359290499531e-22,1,0.0,0,1,PDX1-1,PDX1-2,Stim48hr,0
18218,PDXK,,,0.14517394692050378,2.7644132852386933e-55,1,1.0,1,1,PDXK-1,PDXK-2,Stim48hr,2
18219,PDXP,0.7037467265232726,0.503017969835993,0.07816164794277466,4.4494982419966085e-17,3,0.6666666666666666,2,2,PDXP-1,PDXP-2,Stim48hr,2
18220,PDZD2,0.401800512393182,0.598199487606818,0.11683835088539109,2.6837878014398533e-36,4,0.5,0,4,PDZD2-1,PDZD2-2,Stim48hr,0
18221,PRDX5,0.20930970993579673,0.7354575215291613,0.11729834233285397,1.4255951461995377e-36,5,0.2,4,2,PRDX5-1,PRDX5-2,Stim48hr,2
18222,PRDX6,,,0.11819217212810583,4.139783842875264e-37,1,1.0,1,1,PRDX6-1,PRDX6-2,Stim48hr,2
18223,PRELID2,,,0.10264935082771201,2.3301933752080707e-28,1,1.0,1,1,PRELID2-1,PRELID2-2,Stim48hr,2
18224,RIMS3,0.3100108311309275,0.7993346308221043,0.0370179746369237,7.074335066324601e-05,3,0.0,0,3,RIMS3-1,RIMS3-2,Stim48hr,2
18225,RIC8B,0.5310370550685467,0.061853618933801105,0.09445806346340735,3.0202665328117473e-24,13,0.6923076923076923,12,1,RIC8B-1,RIC8B-2,Stim48hr,2
18226,RICTOR,0.8210202426196581,0.0003188969032782495,0.12319671570157964,3.416568040395899e-40,14,0.9285714285714286,10,6,RICTOR-1,RICTOR-2,Stim48hr,2
18227,RIF1,1.0,1.0,0.10276891868813984,2.0175281018234184e-28,2,1.0,2,2,RIF1-1,RIF1-2,Stim48hr,2
