target,target_corrected,culture_condition,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min,distal_offtarget
MTMR10,MTMR10,Rest,MTMR10-1,ZYG11B,11,5,-1.2755726535841527,0.0119334908187181,0.2097,1.1725693928213431e-114,0.4829,2.3501608264789058e-29,479,2.3501608264789058e-29,0.0
RNF145,RNF145,Stim8hr,RNF145-2,CLTB,11,6,-1.2744137564822873,1.571405164260401e-09,-0.0913,9.352286245236644e-23,-0.0502,0.9680301121914824,3,,0.0
PRKAR1B,PRKAR1B,Stim8hr,PRKAR1B-2,DICER1,11,8,-1.2740885836216471,0.0130065956870596,,,,,0,,0.0
NR2E1,NR2E1,Stim48hr,NR2E1-2,EMC10,11,7,-1.2737717988238606,1.831809210751065e-11,0.0204,0.0283020414734598,-0.2741,0.3647310973631872,13,,0.0
DGKZ,DGKZ,Rest,DGKZ-1,SIGMAR1,11,6,-1.273572438493342,0.0001057509219668,-0.0102,0.27466740040293,,,0,,0.0
ZNF142,ZNF142,Stim48hr,ZNF142-1,EIF1B,11,8,-1.273014541825617,2.1813317101168326e-09,0.1155,1.6775905101830335e-35,0.2521,0.0223111200302818,82,0.0223111200302818,0.0
SP5,SP5,Rest,SP5-2,PUS1,11,7,-1.27292500349423,0.0178922537584575,-0.0444,1.8920275537353097e-06,-0.0663,0.7580976864721137,24,,0.0
CDADC1,CDADC1,Rest,CDADC1-1,PXN,11,8,-1.2727551058283275,4.410515269416666e-10,-0.0299,0.0013308146633278,0.0298,0.7698147185017308,99,0.7698147185017308,0.0
TMEM185A,TMEM185A,Stim8hr,TMEM185A-1,RILPL2,11,6,-1.2725199887300316,1.2348203534525908e-17,0.0136,0.1443016581349434,0.2251,0.3266368159552198,21,0.3266368159552198,0.0
GPR146,GPR146,Stim48hr,GPR146-1,INPPL1,11,4,-1.272508762855154,0.0004000120425673,0.0079,0.3943464443385635,0.0227,0.9105914259646956,27,0.9105914259646956,0.0
SMARCE1,SMARCE1,Stim8hr,SMARCE1-2,PRKCI,11,9,-1.2724095908628514,0.0266671423507265,-0.0251,0.0071586916187854,-0.0602,0.0132247933791893,1691,,0.0
EME2,EME2,Rest,EME2-1,ADSS2,11,7,-1.2717531069316423,1.5533580511012154e-14,0.1966,1.0835788802532926e-100,0.4064,5.3425599985122e-20,467,5.3425599985122e-20,0.0
DRAM2,DRAM2,Stim8hr,DRAM2-2,PPP1R14B,11,6,-1.269359995088921,1.4687460238094755e-06,-0.0133,0.1528224575292139,0.1746,0.5026356021731987,17,0.5026356021731987,0.0
ZFAND3,ZFAND3,Stim48hr,ZFAND3-1,PIP4P1,11,5,-1.2690315513960877,0.026442113671624,0.2092,5.011436423264975e-114,0.3586,1.502737829835954e-21,663,1.502737829835954e-21,0.0
INSR,INSR,Stim48hr,INSR-2,RTN3,11,6,-1.268786492008662,5.853898423080082e-51,0.0086,0.3584844588560874,-0.0051,0.9552130175440584,124,,0.0
SMAGP,SMAGP,Rest,SMAGP-1,ACAA2,11,7,-1.2687429147378624,1.2981734702008346e-15,0.0886,1.6222480212247497e-21,0.1061,0.4879741247354149,45,0.4879741247354149,0.0
PEX1,PEX1,Stim8hr,PEX1-1,AKIP1,11,6,-1.2672537386437015,0.0126579144616769,-0.0646,3.887179321041038e-12,-0.3238,0.1143452062688234,25,,0.0
CCDC69,CCDC69,Stim48hr,CCDC69-1,SLC38A5,11,6,-1.2663736291266263,0.0059167894335543,-0.007,0.455135847136504,-0.1188,0.4425400055974335,44,,0.0
HCN2,HCN2,Stim48hr,HCN2-1,UNC13D,11,8,-1.265627430794069,2.711409695209841e-15,0.0332,0.0003676508085327,0.1485,0.7506837816957692,7,0.7506837816957692,0.0
PATL1,PATL1,Rest,PATL1-1,DYRK2,11,7,-1.265118265765725,0.0075070004925567,-0.0222,0.0174302155808364,,,2,,0.0
MAF,MAF,Stim48hr,MAF-2,LAP3,11,6,-1.2644239022021362,1.2926387547273845e-10,0.2601,1.962603474934211e-177,0.0972,0.8034456018848856,9,0.8034456018848856,0.0
FPGT,FPGT,Stim8hr,FPGT-2,MTDH,11,6,-1.2640374542553234,3.2064811595225803e-10,0.0143,0.12522176457676,-0.2454,0.5579569139565719,8,,0.0
MAPRE3,MAPRE3,Rest,MAPRE3-1,CMTM3,11,7,-1.2629202210398924,0.0034055123969939,0.0601,1.0675681029152389e-10,-0.3129,0.2213992273903157,17,,0.0
MLKL,MLKL,Stim48hr,MLKL-1,KIZ,11,6,-1.2625786390963398,0.0003828453414112,-0.021,0.0241867711497611,-0.0691,0.9309213650940392,4,,0.0
