,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
88839,ENSG00000145911,26.78575737399099,0.3255910888542332,0.251163034799809,1.2963336309172548,0.19486056678064545,0.26500575600659715,ELOB
88840,ENSG00000250479,507.33783489345035,-0.11661150290166149,0.0900147674321262,-1.295470801383673,0.195157867614683,0.2653786537478847,ELOB
88841,ENSG00000069329,723.3790646780395,0.06313406274802345,0.04874550298748128,1.2951771728406907,0.19525911754758152,0.2654849017442848,ELOB
88842,ENSG00000108055,1077.8628527518813,-0.0745767874733002,0.05761862198098838,-1.294317443029222,0.19555579381619803,0.26585680539524553,ELOB
88843,ENSG00000179526,88.17223574949669,0.15392211844693082,0.11893274060917781,1.294194665476774,0.1955981889455618,0.265882968403335,ELOB
88844,ENSG00000177868,108.65009365341788,-0.13937292344144006,0.10773050660270489,-1.293718258983298,0.19576275605684734,0.2660751779068511,ELOB
88845,ENSG00000154358,11.091854429597937,-0.3087622492389649,0.23879050042175798,-1.293025680224385,0.1960021774373416,0.266369069680259,ELOB
88846,ENSG00000125107,534.8647147443573,0.06779256120030341,0.0524643654185471,1.2921639413623314,0.19630037620692609,0.2667427615637182,ELOB
88847,ENSG00000149346,60.23255323194035,-0.1547503120364123,0.11981608932020166,-1.2915653725172995,0.19650770233659198,0.26699289735428355,ELOB
88848,ENSG00000128294,110.3222583111356,-0.1397623700903202,0.10826382102411497,-1.2909425214097068,0.1967236093405974,0.26725463133153077,ELOB
88849,ENSG00000105708,33.6577521970873,0.17459932332802533,0.13527943257495662,1.2906568279053217,0.1968227011038889,0.2673576253315392,ELOB
88850,ENSG00000187824,17.396223230906536,-0.28445000643415175,0.22046478581608395,-1.2902287564030543,0.19697124456688442,0.26752776062567024,ELOB
88851,ENSG00000166912,38.34099554557804,0.1699619783550848,0.131878559031588,1.2887764288839016,0.19747582283689813,0.2681813675395264,ELOB
88852,ENSG00000161654,338.07005131567695,0.12180091371222722,0.09452639721484296,1.2885386230831772,0.1975585331183458,0.2682619712537481,ELOB
88853,ENSG00000091073,47.53747592037682,0.18498047565904058,0.14363213376663073,1.2878766805733834,0.19778889417537737,0.26854302513349204,ELOB
88854,ENSG00000278259,254.2660753044664,0.07785732281949614,0.06052702555819169,1.2863232928015407,0.1983302566210703,0.26924621717411257,ELOB
88855,ENSG00000172824,20.63311415957479,-0.27937792275332757,0.21720940729767646,-1.286214654462234,0.19836815806041885,0.26926584272827214,ELOB
88856,ENSG00000104825,347.56438668232965,0.09166741453459805,0.07127792423343053,1.286056174060194,0.19842345775775394,0.2693090773277953,ELOB
88857,ENSG00000154079,50.31736187311005,0.16825212639389375,0.13097822708887824,1.2845808813683395,0.19893878315058777,0.2699765951181024,ELOB
88858,ENSG00000104814,96.82504785622363,0.1529109364291993,0.11905120887637305,1.2844131350903576,0.19899743944868442,0.2700234244858603,ELOB
88859,ENSG00000204428,8.354194663622135,0.30948294086960276,0.24096506972125792,1.2843477323398138,0.1990203124312414,0.2700234244858603,ELOB
88860,ENSG00000089177,48.426311739862,-0.17078527122264375,0.13304918241807145,-1.2836251085406651,0.19927316000986406,0.27033454319788436,ELOB
88861,ENSG00000273003,53.75624669305611,0.1314573369816117,0.10248015174138253,1.2827590001364906,0.1995765223163486,0.2707141087520094,ELOB
88862,ENSG00000152404,109.64118042270827,-0.10129021449357599,0.0789902973645286,-1.2823121050695196,0.19973318324009526,0.27089461614460253,ELOB
88863,ENSG00000175198,17.86720299074114,-0.24942249855646742,0.1947507957322744,-1.2807264669631988,0.20028975998659337,0.2716174156861524,ELOB
88864,ENSG00000101199,123.95198517709322,-0.25227419246139005,0.19706258113544356,-1.280172983667553,0.20048430517713367,0.2718491434426659,ELOB
88865,ENSG00000117408,61.62782418743446,0.13332322315676476,0.10416258854065698,1.279953052479353,0.20056164760671968,0.27192191273322813,ELOB
88866,ENSG00000067064,647.025380512342,0.11996562319178716,0.09375181210820833,1.2796085802941373,0.20068283069510584,0.2720540970884432,ELOB
88867,ENSG00000095203,13.177847719450098,-0.32401904159186173,0.2532334508106192,-1.279527015702912,0.20071153241390427,0.2720608933994678,ELOB
88868,ENSG00000150455,49.49269618116429,-0.15976394338745795,0.12488158141519837,-1.2793235125385296,0.2007831560906258,0.27212586118725957,ELOB
88869,ENSG00000109184,107.59286632138713,0.0997591568108074,0.07799690696431225,1.2790142672766822,0.20089203178524928,0.2722412961715148,ELOB
88870,ENSG00000186340,45.97008325200823,-0.9431608438361279,0.7376950161873761,-1.2785240826360185,0.20106469888988932,0.2724431414287846,ELOB
88871,ENSG00000099341,1140.7312546133562,-0.04573690686245512,0.03577704197250313,-1.2783870421038936,0.20111299065600685,0.2724764300677408,ELOB
88872,ENSG00000185787,1706.8091510216502,-0.08335244871605041,0.06520735973688023,-1.2782675000550223,0.20115512303425487,0.27250136683751086,ELOB
88873,ENSG00000136783,87.51589465066995,-0.13288928405765438,0.10401550808142092,-1.2775910679937432,0.20139365159333322,0.27279232085734545,ELOB
