index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,neighboring_gene_KD,n_total_genes_category,distal_offtarget_flag,low_target_gex,n_guides,single_guide_estimate,n_downstream,guide_correlation_signif,guide_correlation_signif_pval,guide_correlation_all,guide_correlation_all_pval,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_all_min,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000136715_Stim8hr,SAP130,Stim8hr,ENSG00000136715,423,490.0,401,194,595,-3.2750829990328327,True,22.89787823312508,False,>50 DE genes,False,False,1.0,True,594,0.278592028170096,2.027147198591565e-08,0.1327461990399996,1.9393566662468544e-46,1.0,0.038852516311557,0.0098089119502567,0.6324850844786615,0.5981599003799276
ENSG00000164105_Rest,SAP30,Rest,ENSG00000164105,424,544.0,28,12,40,-14.207362426411054,True,42.70952093770035,False,10-50 DE genes,False,False,2.0,False,39,,,0.2233998556976668,3.144034383645011e-130,2.0,0.1414594870883758,0.107813916566915,0.8982788150369071,0.8801593768332281
ENSG00000164105_Stim48hr,SAP30,Stim48hr,ENSG00000164105,650,461.0,93,60,153,-20.326289587130184,True,115.19320692095218,False,>50 DE genes,False,False,2.0,False,152,0.6652237640098053,0.2204725601263295,0.2194010838357487,1.4500683070165422e-125,2.0,0.1690151116111322,0.1392697709177262,0.819140798145168,0.76721951807206
ENSG00000164105_Stim8hr,SAP30,Stim8hr,ENSG00000164105,486,553.0,6,3,9,-18.48900507078149,True,72.19891208058777,False,2-10 DE genes,False,False,2.0,False,8,,,0.2005635337397324,7.903604422814543e-105,2.0,,,,
ENSG00000164576_Stim48hr,SAP30L,Stim48hr,ENSG00000164576,570,367.0,0,0,0,-3.803559780987632,False,55.75518624204569,False,no effect,False,False,1.0,True,0,,,0.0694169488721693,8.774517758735663e-14,1.0,,,,
ENSG00000228727_Rest,SAPCD1,Rest,ENSG00000228727,154,747.0,1,4,5,-1.216204861280144,False,1.2155755652384908,False,2-10 DE genes,False,False,1.0,True,5,,,-0.0491961548122382,1.2746586652232464e-07,1.0,,,,
ENSG00000228727_Stim48hr,SAPCD1,Stim48hr,ENSG00000228727,118,676.0,0,8,8,-2.684914542826121,False,3.813345665783973,False,2-10 DE genes,False,False,1.0,True,8,0.9483892265217864,0.2054239568088085,0.0345763765853805,0.0002060257416492,1.0,,,,
ENSG00000228727_Stim8hr,SAPCD1,Stim8hr,ENSG00000228727,224,590.0,1,0,1,0.2108316277054538,False,2.190281855023302,False,1 DE gene,False,False,1.0,True,1,,,0.0367678626835394,7.916803023874862e-05,0.0,,,,
ENSG00000186193_Rest,SAPCD2,Rest,ENSG00000186193,530,380.0,0,4,4,-5.530726126845626,True,9.614365499981671,False,2-10 DE genes,False,False,2.0,False,3,,,,,,,,,
ENSG00000186193_Stim48hr,SAPCD2,Stim48hr,ENSG00000186193,457,371.0,1,3,4,-5.714414636695604,True,9.695031748203162,False,2-10 DE genes,False,False,2.0,False,3,0.8974110083099106,0.1025889916900895,0.101870444632144,5.9322252917679645e-28,2.0,,,,
ENSG00000186193_Stim8hr,SAPCD2,Stim8hr,ENSG00000186193,45,355.0,5,6,11,-5.777008282623074,True,14.236304043729865,False,10-50 DE genes,False,False,2.0,False,10,0.9400505799280424,0.000514707701775,0.066186424458375,1.1580621482919072e-12,2.0,,,,
ENSG00000079332_Rest,SAR1A,Rest,ENSG00000079332,80,492.0,1,0,1,-1.575437195469742,False,0.8866174011471287,False,1 DE gene,False,True,1.0,True,1,,,0.0728101695519448,5.1306794543984715e-15,1.0,,,,
ENSG00000079332_Stim48hr,SAR1A,Stim48hr,ENSG00000079332,450,389.0,2,0,2,-0.9069801897048826,False,0.6043161448557535,False,2-10 DE genes,False,True,1.0,True,2,,,-0.0051441626203986,0.5809310368869941,0.0,,,,
ENSG00000079332_Stim8hr,SAR1A,Stim8hr,ENSG00000079332,88,416.0,1,0,1,-1.85896342469027,False,1.3286274100500968,False,1 DE gene,False,False,1.0,True,1,-0.7813107601607241,0.429102838626352,0.1024400099719305,2.997561227298927e-28,1.0,,,,
ENSG00000152700_Rest,SAR1B,Rest,ENSG00000152700,60,916.0,0,1,1,-17.523481069793945,True,47.66950072498093,False,1 DE gene,False,False,2.0,False,0,,,0.0827891270956925,5.614645295624851e-19,2.0,,,,
ENSG00000152700_Stim48hr,SAR1B,Stim48hr,ENSG00000152700,196,970.0,0,1,1,-19.71762538364509,True,76.91635711949806,False,1 DE gene,False,False,2.0,False,0,-1.0,1.0,0.0052017463937873,0.5767045909422474,2.0,,,,
ENSG00000152700_Stim8hr,SAR1B,Stim8hr,ENSG00000152700,298,914.0,0,1,1,-19.904641323180115,True,72.91498116697657,False,1 DE gene,False,False,2.0,False,0,,,-0.0057096126259636,0.5400712672429289,2.0,,,,
