,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
1,split2_seed432,donor_comb_1,-0.06812895377808713,KLF2,100,31.0,1
2,split2_seed432,donor_comb_2,0.5499098327057758,KLF2,100,61.0,1
3,split2_seed432,donor_comb_3,0.17128740247080104,KLF2,100,3.0,1
4,split2_seed432,donor_comb_4,0.09432306099358595,KLF2,100,46.0,2
5,split2_seed432,donor_comb_5,0.41762855011392364,KLF2,100,92.0,2
6,split2_seed432,donor_comb_6,0.2885482752048086,KLF2,100,18.0,2
7,split2_seed432,donor_comb_7,0.566276971172507,KLF2,100,64.0,2
8,split2_seed432,donor_comb_8,0.1124884860036002,KLF2,100,34.0,2
9,split2_seed432,donor_comb_9,0.5400761199413354,KLF2,100,76.0,2
10,split2_seed432,donor_comb_10,0.44401820646116996,KLF2,100,107.0,3
11,split2_seed432,donor_comb_11,0.5508267265201398,KLF2,100,79.0,3
12,split2_seed432,donor_comb_12,0.20886456146373428,KLF2,100,49.0,3
13,split2_seed432,donor_comb_13,0.4736533788133811,KLF2,100,95.0,3
14,split2_seed432,donor_comb_14,0.4808506784048239,KLF2,100,110.0,4
0,split2_seed432,donor_comb_0,0.368544005600966,MED12,100,15.0,1
