gene_id,gene_name,gene_biotype,DonorA_NTC1_cpm,DonorA_NTC1_count,DonorA_NFKB2-3_cpm,DonorA_NFKB2-3_count,DonorA_MED24-3_cpm,DonorA_MED24-3_count,DonorA_GATA3-3_cpm,DonorA_GATA3-3_count,DonorA_CYB5R4-3_cpm,DonorA_CYB5R4-3_count,DonorA_KDM1A-3_cpm,DonorA_KDM1A-3_count,DonorA_ELOB-3_cpm,DonorA_ELOB-3_count,DonorA_MEN1-3_cpm,DonorA_MEN1-3_count,DonorA_NTC2_cpm,DonorA_NTC2_count
ENSG00000136327,NKX2-8,protein_coding,0.1789736571644982,1.0,0.1346993191286166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136352,NKX2-1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136367,ZFHX2,protein_coding,3.2215258289609685,18.0,3.7715809356012664,28.0,1.8557491656598144,12.0,1.3556737595825057,5.0,2.055471883004843,1.0,5.244404937759338,8.0,5.2250179292471,13.0,3.0721072416111275,3.0,1.7880367432252942,12.0
ENSG00000136371,MTHFS,protein_coding,23.71400957429602,132.5,23.740754996418687,176.25,21.57308405079534,139.5,34.43411349339564,127.0,35.97075795258475,17.5,59.327330858402505,90.5,44.81457685469629,111.5,32.25712603691684,31.5,20.18991489225228,135.5
ENSG00000136378,ADAMTS7,protein_coding,0.3579473143289965,2.0,0.0,0.0,0.5149703934705985,3.33,0.5422695038330023,2.0,0.0,0.0,0.0,0.0,0.4019244560959307,1.0,1.0240357472037092,1.0,0.2980061238708823,2.0
ENSG00000136379,ABHD17C,protein_coding,12.528156001514878,70.0,13.874029870247517,103.0,10.825203466348915,70.0,12.472198588159053,46.0,4.110943766009686,2.0,12.455461727178427,19.0,7.636564665822685,19.0,19.456679196870475,19.0,10.28121127354544,69.0
ENSG00000136381,IREB2,protein_coding,150.96427981825428,843.5,95.90591521957504,712.0,151.74615573364107,981.25,243.479007221018,898.0,256.93398537560535,125.0,277.297911084025,423.0,228.89597774663255,569.5,252.9368295593162,247.0,106.83519540771132,717.0
ENSG00000136383,ALPK3,protein_coding,0.0,0.0,0.0,0.0,0.4639372914149535,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038489121918615,2.0,0.0,0.0,0.1490030619354411,1.0
ENSG00000136404,TM6SF1,protein_coding,5.906130686428442,33.0,6.869665275559449,51.0,2.7836237484897213,18.0,10.031985820910542,37.0,16.443775064038743,8.0,19.666518516597517,30.0,16.880827156029092,42.0,10.240357472037092,10.0,5.066104105805,34.0
ENSG00000136425,CIB2,protein_coding,0.1789736571644982,1.0,0.4040979573858499,3.0,0.1546457638049845,1.0,0.2711347519165011,1.0,2.055471883004843,1.0,0.0,0.0,0.8038489121918615,2.0,0.0,0.0,0.1490030619354411,1.0
ENSG00000136436,CALCOCO2,protein_coding,58.34541223562643,326.0,49.83874807758816,370.0,42.991522337785696,278.0,92.99921990735989,343.0,63.71962837315012,31.0,85.22158023858924,130.0,63.90598851925299,159.0,61.442144832222546,60.0,55.13113291611323,370.0
ENSG00000136444,RSAD1,protein_coding,28.277837831990727,158.0,30.980843399581826,230.0,30.61986123338693,198.0,21.41964540140359,79.0,4.110943766009686,2.0,16.388765430497926,25.0,8.842338034110476,22.0,12.28842896644451,12.0,33.376685873538825,224.0
ENSG00000136448,NMT1,protein_coding,44.56444063396007,249.0,48.357055567173376,359.0,39.51199265217354,255.5,21.96191490523659,81.0,20.554718830048422,10.0,15.077664196058096,23.0,21.30199617308433,53.0,25.600893680092728,25.0,48.64949972192154,326.5
ENSG00000136449,MYCBPAP,protein_coding,0.1789736571644982,1.0,1.2122938721575498,9.0,0.1546457638049845,1.0,0.5422695038330023,2.0,0.0,0.0,0.0,0.0,0.8038489121918615,2.0,0.0,0.0,0.5960122477417646,4.0
ENSG00000136450,SRSF1,protein_coding,376.38160101693984,2103.0,376.25964910153874,2793.33,364.8480182569097,2359.25,367.38758884685905,1355.0,236.3792665455569,115.0,298.27553083506234,455.0,307.2712466853391,764.5,239.11234697206612,233.5,370.1981073786036,2484.5
ENSG00000136451,VEZF1,protein_coding,50.64954497755301,283.0,47.88560795022322,355.5,54.203340213647074,350.5,83.50950359028234,308.0,119.21736921428088,58.0,71.45501727697098,109.0,60.28866841438962,150.0,71.1704844306578,69.5,48.202490536115214,323.5
ENSG00000136457,CHAD,protein_coding,0.0,0.0,0.1346993191286166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136463,TACO1,protein_coding,8.590735543895917,48.0,9.742801752572843,72.33,7.732288190249225,50.0,4.202588654705767,15.5,4.110943766009686,2.0,1.3111012344398345,2.0,3.215395648767446,8.0,5.120178736018547,5.0,7.897162282578383,53.0
ENSG00000136478,TEX2,protein_coding,21.297865202575295,119.0,15.355722380662298,114.0,23.196864570747675,150.0,20.877375897570584,77.0,30.832078245072637,15.0,28.18867654045644,43.0,25.32124073404364,63.0,28.673000921703856,28.0,18.774385803865588,126.0
ENSG00000136485,DCAF7,protein_coding,166.59404929842992,930.83,172.2130795059364,1278.5,182.94593858129667,1183.0,138.6854256052903,511.5,67.83057213915981,33.0,101.93812097769712,155.5,103.69650967275015,258.0,89.60312788032455,87.5,176.86663451736865,1187.0
ENSG00000136487,GH2,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136488,CSH1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136490,LIMD2,protein_coding,21.476838859739793,120.0,77.85620645634042,578.0,23.506156098357646,152.0,9.218581565161038,34.0,6.166415649014528,3.0,9.17770864107884,14.0,6.430791297534892,16.0,8.192285977629673,8.0,31.73765219224897,213.0
ENSG00000136492,BRIP1,protein_coding,7.337919943744429,41.0,6.4655673181735995,48.0,3.711498331319629,24.0,13.556737595825057,50.0,6.166415649014528,3.0,20.322069133817436,31.0,26.1250896462355,65.0,14.336500460851928,14.0,7.897162282578383,53.0
ENSG00000136504,KAT7,protein_coding,19.508128630930308,109.0,18.11705842279894,134.5,19.949303530843004,129.0,10.167553196868791,37.5,6.166415649014528,3.0,9.17770864107884,14.0,10.851960314590132,27.0,7.168250230425964,7.0,20.11541336128456,135.0
ENSG00000136514,RTP4,protein_coding,13.24405063017287,74.0,11.98823940244688,89.0,10.361266174933965,67.0,14.912411355407562,55.0,4.110943766009686,2.0,15.077664196058096,23.0,12.459658138973856,31.0,17.408607702463055,17.0,14.453297007737794,97.0
ENSG00000136518,ACTL6A,protein_coding,127.07129658679376,710.0,111.39633691936596,827.0,106.08699397021938,686.0,170.5437589554792,629.0,127.43925674630025,62.0,137.6656296161826,210.0,104.09843412884608,259.0,136.19675437809332,133.0,116.59489596448272,782.5
ENSG00000136521,NDUFB5,protein_coding,88.86042078217339,496.5,67.41700922387264,500.5,74.53925815400254,482.0,126.07765964117304,465.0,168.5486944063971,82.0,136.68230369035274,208.5,158.96112238594063,395.5,138.75684374610262,135.5,84.70824071029831,568.5
ENSG00000136522,MRPL47,protein_coding,179.33160447882724,1002.0,145.6099639780346,1081.0,158.35726213630414,1024.0,160.24063838265215,591.0,174.71511005541163,85.0,138.97673085062243,212.0,166.79864927981126,415.0,162.82168380538977,159.0,180.29370494188385,1210.0
ENSG00000136527,TRA2B,protein_coding,421.1250153080644,2353.0,372.3762677310607,2764.5,393.7281146474906,2546.0,510.27560310685504,1882.0,427.53815166500726,208.0,505.4295258765561,771.0,499.5920989272419,1243.0,503.82558762422497,492.0,390.4625238018236,2620.5
ENSG00000136531,SCN2A,protein_coding,0.3579473143289965,2.0,0.0,0.0,0.309291527609969,2.0,0.0,0.0,0.0,0.0,1.3111012344398345,2.0,0.4019244560959307,1.0,0.0,0.0,0.2980061238708823,2.0
ENSG00000136535,TBR1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136536,MARCHF7,protein_coding,97.18269584032257,543.0,88.09335471011529,654.0,110.10778382914896,712.0,141.53234050041357,522.0,217.88001959851331,106.0,213.709501213693,326.0,160.36785798227638,399.0,183.30239874946395,179.0,88.95482797545839,597.0
ENSG00000136541,ERMN,protein_coding,6.264078000757439,35.0,4.1083292334228085,30.5,7.113705135029288,46.0,11.387659580493048,42.0,10.277359415024211,5.0,30.81087900933611,47.0,10.4500358584942,26.0,22.528786438481603,22.0,5.066104105805,34.0
ENSG00000136542,GALNT5,protein_coding,1.0738419429869897,6.0,1.2122938721575498,9.0,1.5464576380498452,10.0,1.6268085114990067,6.0,28.776606362067795,14.0,5.244404937759338,8.0,2.4115467365755845,6.0,5.120178736018547,5.0,0.5960122477417646,4.0
