gene_id,gene_name,gene_biotype,Donor6_NTC2_cpm,Donor6_NTC2_count,Donor6_MEN1_cpm,Donor6_MEN1_count,Donor6_ELOB_cpm,Donor6_ELOB_count,Donor6_SGF29_cpm,Donor6_SGF29_count,Donor6_GATA3_cpm,Donor6_GATA3_count,Donor6_NTC3_cpm,Donor6_NTC3_count,Donor6_MED24_cpm,Donor6_MED24_count,Donor6_NFKB2_cpm,Donor6_NFKB2_count,Donor6_KDM1A_cpm,Donor6_KDM1A_count,Donor6_CYB5R4_cpm,Donor6_CYB5R4_count,Donor6_NTC1_cpm,Donor6_NTC1_count
ENSG00000121753,ADGRB2,protein_coding,0.3370880090970255,3.0,0.1092798232672495,1.0,1.729532079177674,20.0,0.0815380951627113,1.0,0.1707432079965382,1.5,0.2805959368339038,2.0,0.0,0.0,0.1689687939687163,2.0,0.0,0.0,0.6538371989349876,7.0,0.1565148622756861,2.0
ENSG00000121764,HCRTR1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0934053141335696,1.0,0.0,0.0
ENSG00000121766,ZCCHC17,protein_coding,36.012235638532225,320.5,36.663380706162215,335.5,46.437936325920546,537.0,35.6729166336862,437.5,40.352311489848525,354.5,38.16104740941092,272.0,40.08206544426581,428.0,33.62478999977455,398.0,36.413006709387155,456.0,36.42807251209216,390.0,35.0984578653226,448.5
ENSG00000121769,FABP3,protein_coding,0.0,0.0,0.0,0.0,0.3459064158355348,4.0,0.1630761903254226,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844843969843581,1.0,0.0798530848890069,1.0,0.0934053141335696,1.0,0.078257431137843,1.0
ENSG00000121774,KHDRBS1,protein_coding,228.5456701677833,2034.0,221.07308246964575,2023.0,269.893480955676,3121.0,222.51746169903916,2729.0,235.2841406192296,2067.0,194.0320903206445,1383.0,217.079971261234,2318.0,244.07542288781073,2889.0,239.55925466702075,3000.0,219.6892988421558,2352.0,224.99011452129875,2875.0
ENSG00000121775,TMEM39B,protein_coding,43.93380385231232,391.0,27.101396170277884,248.0,33.46644573208799,387.0,53.16283804608778,652.0,43.8240900524448,385.0,36.33717381999055,259.0,41.86140947099724,447.0,38.35591623089861,454.0,38.16977457694531,478.0,33.5325077739515,359.0,42.02424052102172,537.0
ENSG00000121797,CCRL2,protein_coding,1.2359893666890935,11.0,3.169114874750236,29.0,5.448026049409672,63.0,2.4461428548813395,30.0,2.0489184959584583,18.0,1.683575621003423,12.0,1.6856943411139829,18.0,2.196594321593312,26.0,1.6769147826691453,21.0,2.521943481606381,27.0,1.6434060538947035,21.0
ENSG00000121807,CCR2,protein_coding,5.2810454758534,47.0,15.627014727216684,143.0,1.470102267301023,17.0,3.4245999968338747,42.0,10.586078895785368,93.0,5.050726863010269,36.0,5.89993019389894,63.0,7.096689346686085,84.0,6.388246791120554,80.0,7.098803874151294,76.0,6.730139077854502,86.0
ENSG00000121851,POLR3GL,protein_coding,22.30398993525319,198.5,27.483875551713258,251.5,22.310963821391994,258.0,38.68982615470651,474.5,28.34337252742534,249.0,21.746185104627543,155.0,19.33866008000208,206.5,27.457429019916404,325.0,31.741601243380252,397.5,20.59587176645211,220.5,25.04237796410977,320.0
ENSG00000121853,GHSR,protein_coding,0.0,0.0,0.1092798232672495,1.0,0.0,0.0,0.0815380951627113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
