gene_id,gene_name,gene_biotype,Donor10_NTC_cpm,Donor10_NTC_count,Donor10_CYB5R4_cpm,Donor10_CYB5R4_count,Donor10_SGF29_cpm,Donor10_SGF29_count,Donor10_ATP2A2_cpm,Donor10_ATP2A2_count,Donor10_KDM1A_cpm,Donor10_KDM1A_count
ENSG00000274670,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274677,,lncRNA,0.279812488,3,0.477446671,5,0.347296728,3,0.660348339,2,0.330650425,3
ENSG00000274678,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274680,MYO5BP1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274682,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274685,,lncRNA,0,0,0.095489334,1,0.347296728,3,0,0,0,0
ENSG00000274686,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274688,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274691,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274693,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274695,,lncRNA,0,0,0,0,0.115765576,1,0,0,0,0
ENSG00000274697,MIR6761,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274698,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274701,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274702,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274704,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274705,MIR486-1,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274709,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274711,Metazoa_SRP,misc_RNA,0.046635415,0.5,0,0,0,0,0,0,0,0
ENSG00000274712,,transcribed_unprocessed_pseudogene,0,0,0.03151148,0.33,0.057882788,0.5,0.056129609,0.17,0.036371547,0.33
ENSG00000274713,MIR7974,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274716,U4,snRNA,0,0,0,0,0,0,0,0,0,0
