gene_id,gene_name,gene_biotype,Donor7_NTC1_cpm,Donor7_NTC1_count,Donor7_MEN1_cpm,Donor7_MEN1_count,Donor7_ELOB_cpm,Donor7_ELOB_count,Donor7_SGF29_cpm,Donor7_SGF29_count,Donor7_GATA3_cpm,Donor7_GATA3_count,Donor7_NTC2_cpm,Donor7_NTC2_count,Donor7_MED24_cpm,Donor7_MED24_count,Donor7_NFKB2_cpm,Donor7_NFKB2_count,Donor7_KDM1A_cpm,Donor7_KDM1A_count,Donor7_ATP2A2_cpm,Donor7_ATP2A2_count,Donor7_NTC3_cpm,Donor7_NTC3_count
ENSG00000044090,CUL7,protein_coding,8.476335721255177,101.5,10.003553288224204,115.0,8.916934099762646,108.0,8.997146489750804,105.5,10.166268041922503,113.5,8.949802198428054,105.5,9.890564780008502,90.0,7.928789893356908,48.5,8.362791367912065,41.0,9.041126477808923,39.0,8.195391664583136,58.5
ENSG00000044115,CTNNA1,protein_coding,148.8160616283421,1782.0,202.2457512619241,2325.0,118.23194102648247,1432.0,154.74239152277565,1814.5,130.81792489187507,1460.5,163.17482965570014,1923.5,283.52952369357706,2580.0,143.45387899836467,877.5,142.473409036258,698.5,175.2587594159884,756.0,140.16221128915262,1000.5
ENSG00000044446,PHKA2,protein_coding,10.438837095141842,125.0,7.567905531091354,87.0,5.9446227331750965,72.0,9.12506800382309,107.0,10.748477224940094,120.0,10.85852778577053,128.0,10.33014543689777,94.0,8.66445081129724,53.0,8.362791367912065,41.0,6.259241407713872,27.0,10.086635894871552,72.0
ENSG00000044459,CNTLN,protein_coding,3.1734064769231205,38.0,5.39322003365131,62.0,4.78872386839105,58.0,4.6051745066023075,54.0,6.538656978505224,73.0,3.4781221813796233,41.0,3.186959762447184,29.0,3.760044691695029,23.0,3.6714693810345658,18.0,1.6227662908887817,7.0,2.941935469337536,21.0
ENSG00000044524,EPHA3,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000044574,HSPA5,protein_coding,402.3687338135966,4818.17,512.2106342056454,5888.33,468.551861260676,5675.0,372.79143473973824,4371.33,442.71813271162216,4942.67,374.22304200939936,4411.33,459.1419961208391,4178.0,367.58523866418574,2248.5,367.8608349275466,1803.5,506.7273202304894,2185.83,354.85345446818945,2533.0
ENSG00000046604,DSG2,protein_coding,8.43458037287461,101.0,9.35114763899219,107.5,10.967003300661778,132.83,12.920072921300916,151.5,7.919836301910027,88.42,11.494769648218025,135.5,8.62677039145186,78.5,16.593240704654146,101.5,12.850142833620978,63.0,6.838800797317008,29.5,10.682027596999388,76.25
ENSG00000046647,GEMIN8,protein_coding,20.48767923640919,245.33,14.26593686320669,164.0,17.36572915928775,210.33,17.141482885686365,201.0,20.242965440303845,226.0,17.545853921335308,206.83,18.709651708849417,170.25,18.187172693524865,111.25,18.901948196692953,92.67,14.952632251760916,64.5,17.231336320405568,123.0
ENSG00000046651,OFD1,protein_coding,33.19550196255106,397.5,27.835974367232566,320.0,30.837730428345807,373.5,39.57038835302723,464.0,29.647883012126428,331.0,39.02283423011285,460.0,33.46307750569543,304.5,23.949849884057464,146.5,27.943961400096416,137.0,19.936843002347885,86.0,24.16589849812976,172.5
ENSG00000046653,GPM6B,protein_coding,2.1712781157895034,26.0,1.565773558156832,18.0,1.568719887921206,19.0,2.3025872533011538,27.0,1.791412870823349,20.0,2.9691286914216297,35.0,2.417693612890967,22.0,0.9808812239204424,6.0,1.019852605842935,5.0,0.6954712675237634,3.0,0.7004608260327466,5.0
ENSG00000046774,MAGEC2,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1098951642223167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000046889,PREX2,protein_coding,0.1670213935222695,2.0,0.347949679590407,4.0,0.1651284092548638,2.0,0.2558430281445726,3.0,0.2687119306235023,3.0,0.0848322483263322,1.0,0.7692661495562167,7.0,0.4904406119602211,3.0,0.8158820846743479,4.0,0.463647511682509,2.0,0.5603686608261973,4.0
ENSG00000047056,WDR37,protein_coding,9.39495338562766,112.5,11.917276525971442,137.0,9.494883532154669,115.0,7.419447816192606,87.0,9.763200145987254,109.0,9.755708557528212,115.0,6.813500181783635,62.0,8.82793101528398,54.0,8.15882084674348,40.0,9.27295023365018,40.0,8.405529912392959,60.0
ENSG00000047188,YTHDC2,protein_coding,21.96331324817844,263.0,20.96396819532203,241.0,13.375401149643968,162.0,23.025872533011533,270.0,24.00493246903288,268.0,23.75302953137304,280.0,25.49567809957747,232.0,22.23330774219669,136.0,19.581170032184342,96.0,17.38678168809409,75.0,20.313363954949654,145.0
ENSG00000047230,CTPS2,protein_coding,1.9207460255060993,23.0,2.3051666272864466,26.5,4.252056538312742,51.5,2.8142733095902988,33.0,2.955831236858526,33.0,1.6966449665266454,20.0,1.428637134890117,13.0,2.4522030598011058,15.0,1.6317641693486955,8.0,4.404651360983836,19.0,2.731797221527712,19.5
ENSG00000047249,ATP6V1H,protein_coding,21.69858433944564,259.83,24.139009021584492,277.5,19.89797331521109,241.0,26.991439469252413,316.5,21.54173977165077,240.5,24.459682159931383,288.33,21.64934735179639,197.0,18.963703662461885,116.0,20.601022638027285,101.0,27.123379433426777,117.0,25.21658973717888,180.0
ENSG00000047315,POLR2B,protein_coding,97.37347242348312,1166.0,83.85587278128811,964.0,95.85704157244842,1161.0,105.49260860494545,1237.0,94.76574086655516,1058.0,88.64969950101724,1045.0,90.00413949807736,819.0,86.48102790898565,529.0,75.06115179004,368.0,81.37013830028033,351.0,71.30691209013361,509.0
ENSG00000047346,ATOSA,protein_coding,5.762238076518298,69.0,10.003553288224204,115.0,7.265650007214006,88.0,8.186976900626323,96.0,8.509211136410908,95.0,6.871412114432914,81.0,4.6155968973373005,42.0,6.539208159469615,40.0,5.915145113889022,29.0,9.041126477808923,39.0,6.724423929914368,48.0
